morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
16	2.5414	0.1767	0.2248	0.2283	0.2442	0.228	0.241	0.241	0.2282	0.2152	0.2121	0.212	0.1671	0.1736	0.1573	0.1542	0.1125	NA	NA	NA	NA	NA	NA	0.5558
16	2.4368	0.1853	0.2039	0.2347	0.2285	0.2472	0.2316	0.2316	0.2379	0.2255	0.2131	0.2162	0.1791	0.1916	0.1606	0.1389	0.1452	NA	NA	NA	NA	NA	NA	0.6456
16	2.2664	0.1869	0.2018	0.2195	0.2225	0.2135	0.2224	0.2166	0.2166	0.2017	0.2017	0.1929	0.1721	0.1571	0.1306	0.1245	0.1187	NA	NA	NA	NA	NA	NA	0.448
17	3.1132	0.2414	0.2467	0.2568	0.2671	0.3031	0.2723	0.2774	0.2619	0.257	0.2671	0.2517	0.2209	0.2311	0.2004	0.185	0.1798	0.1182	NA	NA	NA	NA	NA	0.6165
17	2.6943	0.2128	0.2251	0.2544	0.2544	0.2335	0.2586	0.2336	0.2336	0.2376	0.2086	0.2335	0.2003	0.1626	0.1918	0.1628	0.1251	0.1208	NA	NA	NA	NA	NA	0.5422
17	2.727	0.2305	0.2305	0.2648	0.2796	0.255	0.2796	0.2648	0.2697	0.2404	0.2354	0.2404	0.2256	0.2207	0.1913	0.1962	0.1667	0.1815	NA	NA	NA	NA	NA	0.5983
17	2.4568	0.2088	0.2195	0.2408	0.2355	0.2623	0.2516	0.2729	0.2355	0.2355	0.2516	0.2354	0.2195	0.2033	0.1606	0.1766	0.1446	0.1177	NA	NA	NA	NA	NA	0.4818
17	2.8612	0.2139	0.1934	0.2036	0.2495	0.224	0.2495	0.2444	0.2698	0.2291	0.2291	0.2342	0.1935	0.1935	0.1782	0.1935	0.1324	0.1222	NA	NA	NA	NA	NA	0.5957
17	2.9071	0.2094	0.2284	0.2664	0.2664	0.2855	0.2713	0.2759	0.2664	0.2664	0.2617	0.2522	0.2284	0.2189	0.2094	0.1665	0.1856	0.1666	NA	NA	NA	NA	NA	0.6708
17	2.9203	0.2192	0.2476	0.2906	0.2668	0.2476	0.2954	0.2525	0.2667	0.2573	0.2573	0.2572	0.2049	0.2191	0.181	0.1858	0.1715	0.1382	NA	NA	NA	NA	NA	0.6955
17	2.9027	0.2344	0.275	0.2479	0.2614	0.2975	0.2839	0.3021	0.2749	0.2614	0.2299	0.2614	0.2344	0.2434	0.2118	0.1893	0.1623	0.1442	NA	NA	NA	NA	NA	0.7031
17	2.5881	0.1817	0.2194	0.2331	0.2228	0.2571	0.2468	0.24	0.2434	0.2364	0.216	0.2262	0.2091	0.1851	0.1851	0.1646	0.1405	0.1371	NA	NA	NA	NA	NA	0.5964
17	2.949	0.1976	0.2334	0.2579	0.2861	0.2859	0.2821	0.274	0.2658	0.266	0.278	0.2537	0.2336	0.2217	0.2095	0.1892	0.1773	0.1775	NA	NA	NA	NA	NA	0.7249
17	2.7597	0.215	0.2275	0.253	0.2561	0.2655	0.294	0.2466	0.2782	0.2719	0.2466	0.2434	0.2308	0.2149	0.2024	0.1833	0.1833	0.117	NA	NA	NA	NA	NA	0.5785
17	2.5054	0.2028	0.2085	0.2525	0.2468	0.2732	0.2585	0.2613	0.2438	0.2408	0.2409	0.2232	0.2027	0.1997	0.1733	0.1645	0.1351	0.1381	NA	NA	NA	NA	NA	0.5698
17	2.5419	0.2249	0.2346	0.251	0.2607	0.2639	0.2476	0.2543	0.2574	0.2478	0.2346	0.2182	0.2249	0.1923	0.1792	0.1499	0.1402	0.1369	NA	NA	NA	NA	NA	0.5117
17	2.7566	0.1971	0.2562	0.2629	0.2793	0.2727	0.2924	0.276	0.2826	0.276	0.2661	0.2662	0.2529	0.2202	0.207	0.2037	0.1839	0.1643	NA	NA	NA	NA	NA	0.6538
18	2.7424	0.2169	0.2529	0.2621	0.2801	0.2664	0.2846	0.2756	0.2801	0.2621	0.253	0.2348	0.226	0.2303	0.1989	0.2033	0.1852	0.1446	0.1491	NA	NA	NA	NA	0.7184
18	3.0389	0.2235	0.2283	0.252	0.2663	0.2806	0.2807	0.2758	0.2758	0.2663	0.2664	0.2473	0.2378	0.2283	0.214	0.1902	0.1807	0.1379	0.1332	NA	NA	NA	NA	0.5565
18	8.4677	0.5678	0.6033	0.6383	0.6741	0.6509	0.7564	0.7214	0.686	0.686	0.6623	0.6387	0.6505	0.6505	0.5792	0.5796	0.5678	0.5438	0.4965	NA	NA	NA	NA	2.2
18	2.9734	0.2259	0.2446	0.2682	0.2635	0.2917	0.3011	0.2823	0.2635	0.2729	0.2682	0.2587	0.2211	0.2258	0.207	0.1882	0.1647	0.1411	0.1317	NA	NA	NA	NA	0.5129
18	3.027	0.2506	0.2604	0.3047	0.3243	0.2801	0.3292	0.3194	0.2998	0.3047	0.2899	0.3145	0.2555	0.2604	0.2408	0.2408	0.2261	0.1867	0.172	NA	NA	NA	NA	0.801
18	2.8671	0.2315	0.2464	0.266	0.2807	0.2661	0.2807	0.2758	0.2809	0.2807	0.271	0.2413	0.2512	0.2513	0.2167	0.1872	0.1872	0.1823	0.1626	NA	NA	NA	NA	0.596
18	4.6346	0.3472	0.3827	0.4039	0.4394	0.4039	0.3968	0.4039	0.4394	0.3968	0.3685	0.3614	0.3614	0.3331	0.3047	0.2976	0.3047	0.2622	0.2197	NA	NA	NA	NA	1.0417
18	2.9238	0.235	0.2538	0.2821	0.2679	0.2679	0.2679	0.2538	0.268	0.2679	0.2397	0.2444	0.2303	0.2304	0.2114	0.1833	0.1693	0.1551	0.1552	NA	NA	NA	NA	0.5687
18	2.9349	0.2268	0.2624	0.2446	0.289	0.2757	0.2757	0.2757	0.2579	0.2713	0.2713	0.2579	0.2357	0.2357	0.2045	0.2045	0.169	0.1556	0.1423	NA	NA	NA	NA	0.5158
18	3.073	0.243	0.2164	0.2588	0.2533	0.2746	0.2852	0.2588	0.2693	0.2639	0.2482	0.2482	0.2217	0.227	0.1953	0.1744	0.1584	0.1426	0.1426	NA	NA	NA	NA	0.586
18	2.7927	0.1903	0.2189	0.2474	0.2475	0.2569	0.2664	0.2759	0.2712	0.2712	0.2379	0.2426	0.2331	0.2141	0.1903	0.1998	0.1713	0.1569	0.1285	NA	NA	NA	NA	0.4995
18	3.2584	0.2513	0.2872	0.3111	0.327	0.327	0.3589	0.3191	0.339	0.323	0.3111	0.3071	0.2752	0.2632	0.2473	0.2193	0.2273	0.2074	0.1835	NA	NA	NA	NA	0.6581
18	3.193	0.2444	0.2753	0.2923	0.3132	0.3028	0.3062	0.2959	0.2993	0.2821	0.2821	0.2545	0.2479	0.2305	0.2339	0.2064	0.1755	0.1514	0.1273	NA	NA	NA	NA	0.5402
18	2.9023	0.2365	0.2609	0.2853	0.2772	0.318	0.2975	0.3056	0.2936	0.2975	0.2812	0.2772	0.2528	0.2282	0.2528	0.2202	0.1834	0.159	0.1385	NA	NA	NA	NA	0.7377
18	2.9373	0.2607	0.2569	0.3068	0.3068	0.299	0.326	0.3145	0.3221	0.2913	0.3145	0.2646	0.2645	0.2685	0.2416	0.2147	0.2109	0.2071	0.1802	NA	NA	NA	NA	0.6864
18	2.9177	0.1924	0.2592	0.2867	0.2749	0.2984	0.2827	0.3063	0.267	0.271	0.267	0.2788	0.2553	0.2434	0.2199	0.1885	0.2003	0.1885	0.1375	NA	NA	NA	NA	0.6204
18	3.2247	0.2372	0.2412	0.2734	0.2613	0.2976	0.3056	0.2855	0.2895	0.2613	0.2734	0.2774	0.2735	0.2573	0.2171	0.2091	0.1728	0.1729	0.1528	NA	NA	NA	NA	0.5991
18	5.753	0.4155	0.4411	0.4922	0.505	0.5433	0.5369	0.5433	0.5114	0.5306	0.505	0.4922	0.5114	0.4347	0.4155	0.4347	0.3899	0.326	0.358	NA	NA	NA	NA	1.63
18	3.4157	0.2575	0.2735	0.2934	0.2859	0.3177	0.3179	0.2936	0.3139	0.3139	0.2816	0.2816	0.2655	0.2454	0.2454	0.189	0.1971	0.1932	0.1527	NA	NA	NA	NA	0.5996
19	5.5366	0.3603	0.4266	0.4648	0.4929	0.5024	0.5119	0.5119	0.4837	0.5024	0.474	0.4645	0.474	0.455	0.4266	0.4171	0.3792	0.3413	0.3413	0.3508	NA	NA	NA	1.4599
19	3.8339	0.2332	0.2784	0.285	0.3239	0.3627	0.3237	0.3756	0.3433	0.3173	0.3174	0.3174	0.2914	0.2915	0.259	0.2591	0.2461	0.2008	0.1749	0.1812	NA	NA	NA	0.7837
19	3.6347	0.3029	0.3471	0.3409	0.3785	0.3913	0.3975	0.3912	0.3913	0.3787	0.4037	0.3661	0.328	0.3409	0.3281	0.2777	0.2838	0.2589	0.2271	0.202	NA	NA	NA	0.7698
19	7.2375	0.4427	0.5293	0.5486	0.5967	0.5967	0.616	0.6448	0.616	0.6159	0.6159	0.5679	0.5486	0.5486	0.5582	0.5101	0.4812	0.4428	0.4523	0.3753	NA	NA	NA	1.8286
19	3.9439	0.3208	0.2969	0.3088	0.3326	0.3326	0.3445	0.3088	0.3505	0.3326	0.3267	0.3267	0.303	0.2851	0.2613	0.2673	0.2079	0.2139	0.1901	0.1544	NA	NA	NA	0.6593
19	5.2222	0.3862	0.4265	0.4586	0.4747	0.4908	0.5069	0.515	0.5069	0.515	0.4908	0.523	0.4747	0.4104	0.4104	0.4265	0.3621	0.3701	0.2977	0.2897	NA	NA	NA	1.215
19	4.5563	0.3603	0.3302	0.3828	0.3903	0.4053	0.4128	0.3978	0.4279	0.4053	0.4053	0.3753	0.3603	0.3753	0.3377	0.3303	0.3078	0.3077	0.2403	0.2252	NA	NA	NA	0.9608
19	5.9068	0.4314	0.4578	0.5105	0.5546	0.5634	0.5898	0.5985	0.581	0.5898	0.537	0.5897	0.537	0.4754	0.5282	0.4665	0.4314	0.4225	0.4226	0.3697	NA	NA	NA	1.9103
19	4.2551	0.3642	0.3783	0.407	0.4355	0.4355	0.4497	0.4355	0.4784	0.4569	0.4213	0.4212	0.4141	0.4069	0.357	0.3855	0.3141	0.2999	0.2998	0.2713	NA	NA	NA	1.0353
19	6.5008	0.426	0.4925	0.4847	0.5307	0.5383	0.5485	0.5358	0.5357	0.5307	0.5332	0.5026	0.5103	0.5025	0.4949	0.4746	0.4694	0.426	0.4005	0.403	NA	NA	NA	1.6074
19	8.1376	0.5261	0.5694	0.6459	0.6593	0.7325	0.7458	0.7525	0.6959	0.7525	0.6993	0.6426	0.666	0.6693	0.5993	0.5927	0.616	0.5494	0.5527	0.5061	NA	NA	NA	2.2076
19	7.7094	0.5275	0.5722	0.5836	0.6285	0.6621	0.6846	0.662	0.6621	0.6846	0.6846	0.6733	0.7181	0.5948	0.6285	0.5948	0.5724	0.5834	0.5275	0.4602	NA	NA	NA	2.2667
19	6.0269	0.3973	0.387	0.4667	0.5063	0.4964	0.5761	0.5555	0.4964	0.5063	0.5063	0.4667	0.4964	0.4568	0.437	0.4366	0.3973	0.3874	0.3374	0.2978	NA	NA	NA	1.4893
19	4.6694	0.3293	0.3377	0.3715	0.3715	0.4391	0.4053	0.4138	0.4137	0.4475	0.3884	0.38	0.38	0.3631	0.3462	0.3293	0.304	0.2955	0.228	0.2533	NA	NA	NA	0.9373
19	7.64	0.5081	0.5378	0.6377	0.5776	0.6576	0.6772	0.6775	0.6971	0.6576	0.6573	0.6375	0.6276	0.5977	0.6076	0.5776	0.548	0.478	0.5179	0.4684	NA	NA	NA	2.3408
19	4.5611	0.312	0.3487	0.3854	0.3763	0.413	0.4313	0.3854	0.4497	0.3946	0.3763	0.3854	0.3854	0.3579	0.3304	0.3304	0.2937	0.2661	0.2661	0.2386	NA	NA	NA	1.0738
19	5.9788	0.3664	0.4201	0.4647	0.572	0.5362	0.572	0.5719	0.5631	0.5451	0.5541	0.5184	0.5004	0.5094	0.4647	0.4379	0.4111	0.4111	0.3754	0.3664	NA	NA	NA	1.8231
19	3.9799	0.2603	0.3066	0.295	0.3471	0.3471	0.3529	0.3529	0.3586	0.3587	0.3355	0.3297	0.3066	0.2893	0.2661	0.2545	0.2429	0.2198	0.2256	0.1794	NA	NA	NA	0.7173
19	4.3044	0.287	0.3244	0.3556	0.393	0.3619	0.4118	0.3866	0.4243	0.3744	0.3741	0.3619	0.3619	0.3741	0.2996	0.3245	0.2744	0.2871	0.2245	0.1995	NA	NA	NA	0.8548
19	3.6232	0.2653	0.2759	0.313	0.3236	0.313	0.3448	0.313	0.3077	0.2971	0.3077	0.2971	0.2812	0.2757	0.2335	0.2439	0.207	0.1962	0.175	0.1591	NA	NA	NA	0.5198
19	3.1619	0.2075	0.2273	0.2569	0.2717	0.2667	0.3113	0.2668	0.2816	0.2372	0.2618	0.247	0.2372	0.2272	0.2075	0.1878	0.1778	0.168	0.1384	0.1383	NA	NA	NA	0.4694
19	3.2814	0.2572	0.2572	0.252	0.2829	0.2829	0.3034	0.2983	0.288	0.2932	0.2572	0.252	0.2572	0.2366	0.2109	0.2109	0.1852	0.1646	0.1594	0.1389	NA	NA	NA	0.5195
19	3.7112	0.2519	0.2799	0.2967	0.3191	0.3303	0.347	0.347	0.3135	0.3247	0.3135	0.2967	0.2855	0.2687	0.2463	0.2463	0.2351	0.2127	0.1791	0.1679	NA	NA	NA	0.5208
19	3.4089	0.2461	0.273	0.2949	0.3277	0.3059	0.3278	0.3114	0.3223	0.3059	0.2951	0.2731	0.284	0.2731	0.2404	0.2295	0.213	0.1803	0.1748	0.1639	NA	NA	NA	0.5791
19	7.6079	0.4402	0.5072	0.5933	0.5837	0.6029	0.6316	0.6316	0.6221	0.622	0.6508	0.6316	0.6221	0.6124	0.5646	0.5646	0.4976	0.5168	0.4689	0.421	NA	NA	NA	2.1915
19	4.1411	0.3396	0.3541	0.3831	0.3613	0.4046	0.3902	0.4335	0.4048	0.4045	0.3616	0.3902	0.3611	0.3542	0.3396	0.3107	0.2963	0.2674	0.2746	0.1952	NA	NA	NA	0.9539
19	7.5347	0.5263	0.5168	0.5263	0.5795	0.6334	0.6328	0.624	0.5973	0.6156	0.6062	0.5795	0.5795	0.5351	0.5529	0.5085	0.5529	0.4985	0.4369	0.5174	NA	NA	NA	2.1222
19	6.7604	0.4097	0.4609	0.5207	0.5463	0.6061	0.6146	0.5804	0.6146	0.5719	0.5805	0.5548	0.5207	0.5292	0.5293	0.5121	0.4524	0.4523	0.3756	0.3927	NA	NA	NA	1.6559
19	6.7489	0.3602	0.4459	0.4716	0.5661	0.5659	0.5488	0.6004	0.6002	0.6004	0.5831	0.5831	0.5575	0.5402	0.5659	0.5232	0.4631	0.4973	0.4288	0.4202	NA	NA	NA	2.0924
19	4.2347	0.2836	0.31	0.3495	0.3563	0.3892	0.3692	0.3498	0.3692	0.3498	0.3429	0.3432	0.356	0.3103	0.3034	0.2905	0.2836	0.2304	0.2244	0.2112	NA	NA	NA	0.8246
19	3.0941	0.2344	0.2537	0.2879	0.2684	0.2733	0.2978	0.2684	0.2879	0.2977	0.2636	0.2684	0.2781	0.2245	0.2147	0.1903	0.205	0.1658	0.1464	0.1464	NA	NA	NA	0.4879
19	6.953	0.4517	0.5107	0.5598	0.6089	0.6383	0.6482	0.7071	0.6482	0.6874	0.6187	0.6187	0.6285	0.5892	0.55	0.5892	0.5303	0.5205	0.4812	0.4321	NA	NA	NA	1.9052
19	4.8886	0.3432	0.3661	0.4195	0.4349	0.4421	0.4729	0.4347	0.4652	0.4271	0.45	0.4422	0.4119	0.4119	0.389	0.3661	0.3507	0.3431	0.2975	0.3051	NA	NA	NA	1.0982
19	3.1995	0.2135	0.2444	0.2912	0.3018	0.3226	0.333	0.333	0.3276	0.3538	0.2912	0.307	0.2808	0.2706	0.2445	0.2445	0.2341	0.2134	0.1715	0.1665	NA	NA	NA	0.6452
19	7.1803	0.376	0.547	0.59	0.658	0.6583	0.701	0.6666	0.6754	0.6925	0.658	0.6327	0.6666	0.6327	0.5812	0.6153	0.5302	0.5382	0.5046	0.4873	NA	NA	NA	2.2482
19	3.7977	0.2996	0.3039	0.3494	0.3676	0.3674	0.3811	0.3811	0.3721	0.363	0.3721	0.3404	0.3039	0.3177	0.2811	0.2814	0.2541	0.2314	0.186	0.1816	NA	NA	NA	0.667
19	4.3665	0.313	0.3346	0.3671	0.3886	0.4049	0.4155	0.421	0.4156	0.4154	0.3996	0.3616	0.3941	0.367	0.3454	0.3131	0.3184	0.2861	0.2537	0.2321	NA	NA	NA	0.9283
19	4.8466	0.305	0.3568	0.4022	0.4541	0.4543	0.4541	0.4541	0.4671	0.4802	0.4476	0.4476	0.4347	0.4218	0.4022	0.3958	0.3828	0.3309	0.3179	0.2854	NA	NA	NA	1.3495
19	6.9523	0.4512	0.5157	0.5525	0.5893	0.6722	0.6353	0.6446	0.6538	0.663	0.6169	0.6078	0.5985	0.5617	0.5525	0.5249	0.5433	0.4605	0.4972	0.4144	NA	NA	NA	2.0258
19	5.3576	0.4229	0.4884	0.5248	0.5831	0.6122	0.6343	0.6195	0.6416	0.5977	0.6122	0.5831	0.5687	0.5394	0.5248	0.4957	0.503	0.4445	0.452	0.401	NA	NA	NA	1.8075
19	4.6024	0.2958	0.3584	0.3926	0.4096	0.4324	0.4494	0.4323	0.4324	0.4267	0.4381	0.4153	0.4039	0.4039	0.3698	0.3527	0.3414	0.3129	0.2788	0.2674	NA	NA	NA	0.9558
19	6.0723	0.4434	0.4856	0.5277	0.5558	0.5702	0.5558	0.5839	0.5561	0.5699	0.5699	0.5421	0.5277	0.5137	0.4996	0.4929	0.4361	0.4361	0.408	0.3518	NA	NA	NA	1.5975
19	3.8052	0.2483	0.3496	0.3142	0.38	0.3851	0.4003	0.4053	0.4003	0.3851	0.4003	0.3901	0.38	0.3749	0.3445	0.3445	0.2989	0.2787	0.2635	0.2331	NA	NA	NA	1.0033
19	6.5485	0.5333	0.5244	0.6006	0.6176	0.6261	0.6515	0.643	0.6599	0.6769	0.6599	0.6176	0.6092	0.5922	0.6092	0.55	0.5754	0.5246	0.4907	0.4823	NA	NA	NA	2.4791
19	3.7566	0.2925	0.3284	0.3438	0.3695	0.3695	0.39	0.3746	0.3746	0.3695	0.3644	0.3746	0.3541	0.3336	0.3182	0.3131	0.2565	0.2515	0.2412	0.2104	NA	NA	NA	0.8313
19	5.9223	0.429	0.4666	0.5192	0.5343	0.5719	0.587	0.5719	0.5944	0.5719	0.5569	0.5569	0.5418	0.5718	0.4967	0.5193	0.4515	0.4289	0.4139	0.4063	NA	NA	NA	1.663
19	3.4938	0.2397	0.2673	0.3089	0.3272	0.3273	0.3318	0.3411	0.341	0.3365	0.341	0.2904	0.3135	0.2811	0.2719	0.2536	0.2166	0.2259	0.1705	0.2028	NA	NA	NA	0.613
19	3.6392	0.2865	0.262	0.2947	0.3316	0.3397	0.3439	0.3233	0.3071	0.3315	0.307	0.3562	0.2865	0.2784	0.2579	0.2579	0.2129	0.1801	0.1884	0.1719	NA	NA	NA	0.6713
19	3.8717	0.2871	0.2782	0.323	0.3275	0.3679	0.3589	0.3634	0.3679	0.341	0.3589	0.3275	0.323	0.3051	0.296	0.2558	0.2378	0.2109	0.2063	0.1929	NA	NA	NA	0.6505
19	3.4524	0.2944	0.3134	0.3514	0.3657	0.3656	0.3609	0.3372	0.3372	0.3371	0.3466	0.3087	0.3087	0.2945	0.2754	0.2564	0.2375	0.228	0.171	0.1757	NA	NA	NA	0.7408
19	3.32	0.2372	0.2792	0.3174	0.3061	0.3634	0.3288	0.3252	0.325	0.3214	0.2945	0.3021	0.2754	0.2639	0.2372	0.218	0.1798	0.1912	0.1645	0.1491	NA	NA	NA	0.6082
19	3.2419	0.291	0.3156	0.3566	0.3565	0.3771	0.3566	0.336	0.3401	0.3525	0.3237	0.3074	0.3115	0.2869	0.2705	0.2417	0.2214	0.209	0.1926	0.1516	NA	NA	NA	0.6475
19	4.196	0.3108	0.3212	0.3989	0.3885	0.4351	0.43	0.4403	0.4559	0.4351	0.4093	0.3937	0.3678	0.3626	0.347	0.3057	0.316	0.2694	0.2486	0.2331	NA	NA	NA	0.9117
19	3.7252	0.2784	0.3121	0.3311	0.3505	0.3552	0.3552	0.3698	0.384	0.3505	0.3696	0.3215	0.3505	0.3073	0.2927	0.2977	0.2544	0.2209	0.2161	0.1823	NA	NA	NA	0.6961
19	3.7615	0.3015	0.3195	0.3464	0.3644	0.3779	0.3779	0.3959	0.3509	0.3779	0.3599	0.3464	0.3194	0.3285	0.306	0.2925	0.2789	0.234	0.225	0.1979	NA	NA	NA	0.8459
19	3.8132	0.2369	0.3112	0.3205	0.3483	0.3483	0.3344	0.418	0.3251	0.3623	0.3344	0.3298	0.3251	0.3205	0.2787	0.288	0.2647	0.2322	0.2183	0.2044	NA	NA	NA	0.8128
19	6.7684	0.4337	0.4698	0.5784	0.5964	0.6235	0.6599	0.6416	0.6055	0.6687	0.6506	0.5964	0.5964	0.6148	0.5691	0.5601	0.5061	0.5242	0.4698	0.4339	NA	NA	NA	2.0963
19	6.6356	0.5067	0.5651	0.575	0.6333	0.6138	0.6627	0.6917	0.6917	0.653	0.6722	0.6528	0.6822	0.5943	0.6235	0.6043	0.5651	0.5456	0.5067	0.5067	NA	NA	NA	2.4359
19	4.4033	0.3544	0.3484	0.3965	0.4145	0.4205	0.4265	0.4385	0.4325	0.4145	0.4265	0.4025	0.3785	0.3724	0.3424	0.3484	0.3064	0.3004	0.2403	0.2463	NA	NA	NA	0.9972
19	5.8462	0.4058	0.437	0.4762	0.5464	0.5308	0.5308	0.4604	0.4918	0.5308	0.515	0.4996	0.484	0.4526	0.445	0.4292	0.4372	0.3512	0.3512	0.3044	NA	NA	NA	1.483
19	6.3809	0.4624	0.4882	0.5738	0.5909	0.6169	0.5824	0.6508	0.6511	0.5824	0.6166	0.5653	0.5653	0.5824	0.531	0.531	0.4968	0.5054	0.4626	0.3767	NA	NA	NA	2.1327
19	3.4094	0.283	0.333	0.3164	0.3372	0.3372	0.3037	0.2915	0.3164	0.3037	0.2954	0.2998	0.2623	0.2664	0.2371	0.2249	0.1957	0.1705	0.1625	0.1705	NA	NA	NA	0.5287
19	5.9853	0.4818	0.4291	0.5044	0.5195	0.5571	0.5345	0.5647	0.5571	0.5571	0.5496	0.527	0.5044	0.4894	0.4894	0.4593	0.4818	0.4292	0.3914	0.3765	NA	NA	NA	1.7995
19	4.5461	0.3261	0.3574	0.4264	0.4075	0.4139	0.4515	0.4515	0.4577	0.439	0.4264	0.4514	0.4452	0.3951	0.3511	0.37	0.3512	0.3135	0.2821	0.2947	NA	NA	NA	1.229
19	3.4032	0.268	0.3005	0.3004	0.3492	0.3249	0.3575	0.3411	0.3654	0.337	0.333	0.3411	0.2884	0.3127	0.272	0.2355	0.2559	0.2112	0.1989	0.1868	NA	NA	NA	0.7433
19	4.6575	0.3455	0.3519	0.4348	0.467	0.4351	0.4734	0.4224	0.4415	0.4415	0.4348	0.4415	0.4096	0.422	0.3841	0.3646	0.3582	0.3069	0.3008	0.2689	NA	NA	NA	1.3621
19	5.8711	0.3848	0.4302	0.5056	0.4754	0.5811	0.5358	0.5584	0.5659	0.5509	0.5584	0.5811	0.5131	0.5057	0.5131	0.4603	0.4603	0.4377	0.415	0.3698	NA	NA	NA	1.6752
19	5.2033	0.3683	0.3923	0.4467	0.4768	0.4588	0.495	0.4768	0.489	0.4889	0.5252	0.4889	0.4286	0.4225	0.4105	0.3923	0.4044	0.3501	0.3259	0.3139	NA	NA	NA	1.2978
19	5.5374	0.3804	0.4621	0.5028	0.5367	0.5164	0.5774	0.5573	0.5706	0.5164	0.5367	0.5367	0.4825	0.5096	0.4689	0.4618	0.4621	0.394	0.3739	0.3329	NA	NA	NA	1.6919
19	4.5893	0.3729	0.3786	0.413	0.4475	0.4245	0.4704	0.4475	0.4704	0.4475	0.4417	0.4417	0.413	0.3901	0.3786	0.3614	0.3442	0.3098	0.2639	0.2811	NA	NA	NA	1.1186
19	4.897	0.3179	0.3738	0.4183	0.4183	0.4295	0.4573	0.4629	0.4573	0.4239	0.4351	0.4128	0.4295	0.3961	0.3794	0.329	0.3402	0.307	0.2789	0.2564	NA	NA	NA	0.965
19	6.7998	0.5055	0.5545	0.5789	0.587	0.6197	0.6359	0.6196	0.6523	0.6441	0.6114	0.6115	0.6196	0.587	0.5708	0.5381	0.5381	0.4729	0.4403	0.424	NA	NA	NA	2.1281
19	6.7639	0.4343	0.4842	0.5345	0.6012	0.5929	0.6263	0.643	0.5845	0.6346	0.618	0.5929	0.5845	0.5929	0.5678	0.5762	0.5595	0.4426	0.476	0.4092	NA	NA	NA	2.0292
19	5.6477	0.4234	0.4228	0.4654	0.5006	0.5076	0.4938	0.5286	0.5076	0.5076	0.4936	0.4936	0.4585	0.4724	0.4229	0.4445	0.4158	0.3879	0.3384	0.2963	NA	NA	NA	1.41
19	4.7909	0.2783	0.3182	0.3709	0.3824	0.3997	0.429	0.4224	0.4232	0.4285	0.3997	0.4055	0.3997	0.3767	0.359	0.3417	0.3248	0.3124	0.2668	0.2433	NA	NA	NA	1.0658
19	3.9422	0.2935	0.3045	0.3267	0.3488	0.3599	0.371	0.3544	0.382	0.3599	0.3599	0.3433	0.3211	0.3211	0.299	0.2768	0.2658	0.2436	0.1994	0.1937	NA	NA	NA	0.7751
19	7.3209	0.4405	0.4476	0.5149	0.5832	0.5761	0.6167	0.6373	0.6031	0.6167	0.6035	0.6031	0.5761	0.5629	0.5896	0.5284	0.5152	0.5085	0.4743	0.4202	NA	NA	NA	2.0471
19	4.7736	0.3067	0.329	0.3736	0.3791	0.4071	0.3904	0.4351	0.4238	0.3904	0.3847	0.3848	0.3904	0.3569	0.3458	0.3179	0.2733	0.2844	0.2733	0.223	NA	NA	NA	0.9537
19	6.3164	0.4316	0.425	0.4773	0.4773	0.5492	0.5166	0.5035	0.5492	0.5231	0.4969	0.5035	0.4904	0.4773	0.4773	0.4185	0.4316	0.4054	0.3596	0.3269	NA	NA	NA	1.5236
19	6.2508	0.4014	0.4078	0.4525	0.4905	0.5162	0.5225	0.5223	0.5098	0.5287	0.5162	0.4841	0.4907	0.4587	0.4525	0.4523	0.4141	0.395	0.3759	0.325	NA	NA	NA	1.7013
19	5.5163	0.3697	0.398	0.4494	0.4777	0.489	0.5007	0.489	0.489	0.4894	0.4777	0.455	0.4433	0.4324	0.421	0.4094	0.3754	0.3584	0.3467	0.3244	NA	NA	NA	1.2851
19	4.5632	0.3153	0.3576	0.3925	0.4065	0.4488	0.4558	0.4065	0.4209	0.4204	0.4065	0.3786	0.3646	0.3646	0.3432	0.3088	0.3223	0.2735	0.2525	0.2241	NA	NA	NA	0.8971
19	4.0651	0.2858	0.2858	0.3266	0.3267	0.3441	0.3674	0.3441	0.3383	0.35	0.3441	0.3324	0.3034	0.2915	0.2858	0.2625	0.2449	0.2391	0.1983	0.1924	NA	NA	NA	0.7233
20	6.0471	0.4058	0.4854	0.541	0.5092	0.5888	0.5729	0.5729	0.5888	0.5729	0.5649	0.565	0.541	0.5251	0.5013	0.4933	0.4535	0.4375	0.4297	0.3581	0.3818	NA	NA	1.7267
20	4.8037	0.3719	0.3879	0.4352	0.4273	0.4749	0.5063	0.4749	0.4747	0.4828	0.4747	0.4828	0.4905	0.4275	0.4273	0.4431	0.38	0.3403	0.3324	0.3007	0.277	NA	NA	1.1236
20	5.7449	0.3384	0.3467	0.3714	0.4622	0.4787	0.487	0.5118	0.4705	0.4787	0.4787	0.454	0.4292	0.4622	0.4375	0.421	0.3879	0.3632	0.3467	0.3054	0.3054	NA	NA	1.2299
