morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
11	1.6158	0.1246	0.138	0.1615	0.1817	0.1515	0.1852	0.1515	0.1549	0.138	0.1212	0.1212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5285
11	1.6491	0.1321	0.1708	0.1597	0.1789	0.1652	0.1734	0.1652	0.1597	0.1542	0.1404	0.1322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5478
11	1.4347	0.1482	0.1555	0.158	0.1605	0.1679	0.1531	0.158	0.163	0.1457	0.1285	0.1185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5556
11	1.7521	0.1761	0.1633	0.1893	0.1858	0.1828	0.1795	0.1663	0.1566	0.1533	0.1403	0.1174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5189
11	1.4176	0.1293	0.1434	0.1434	0.1575	0.1622	0.1481	0.1505	0.134	0.1175	0.1105	0.0987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.409
11	1.5459	0.1238	0.1511	0.1685	0.1685	0.1759	0.1808	0.1536	0.1412	0.1413	0.1239	0.1313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4707
11	1.689	0.1737	0.1736	0.1737	0.1787	0.1762	0.1712	0.1636	0.1585	0.1384	0.141	0.1234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5436
11	1.6642	0.165	0.165	0.1678	0.1706	0.1678	0.165	0.165	0.1595	0.1376	0.1376	0.1127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4511
11	1.594	0.119	0.1427	0.1481	0.1612	0.1613	0.1427	0.1507	0.1428	0.1454	0.111	0.111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.497
11	1.6596	0.1495	0.1546	0.1698	0.1875	0.1824	0.1774	0.1799	0.1571	0.1546	0.1368	0.1191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5042
