	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-115701" 13 4.1522 0.4827 0.4044 0.5322 0.4264 0.4863 0.4554 0.4047 0.4187 0.4244 0.3445 0.3422 0.2991 0.2755 1.2553
"AMNH-FI-115702" 13 2.8831 0.3393 0.3207 0.3221 0.3297 0.325 0.3184 0.2911 0.2918 0.2766 0.229 0.2039 0.1927 0.1774 0.6703
"AMNH-FI-115706" 13 6.2414 0.7379 0.773 0.6982 0.7756 0.6228 0.7683 0.5567 0.6712 0.6815 0.6676 0.5251 0.5365 0.4826 2.5442
"AMNH-FI-115708" 13 5.1051 0.6189 0.5456 0.6192 0.6036 0.5172 0.5925 0.5769 0.5685 0.5467 0.5102 0.4768 0.4292 0.387 1.932
"AMNH-FI-115717" 13 7.957 0.943 0.8856 0.9699 0.9233 0.901 0.9688 0.8778 0.866 0.8165 0.8486 0.7231 0.7121 0.6927 3.1426
"AMNH-FI-115718" 13 3.0369 0.4101 0.3356 0.341 0.3575 0.3857 0.3555 0.3401 0.3228 0.3202 0.282 0.2499 0.2593 0.187 0.8602
"AMNH-FI-115732" 13 2.6603 0.3277 0.298 0.2898 0.32 0.282 0.2875 0.2523 0.2579 0.2487 0.1934 0.1812 0.1574 0.1438 0.4831
"AMNH-FI-115735" 13 7.11 0.8872 0.8189 0.8609 0.8314 0.8572 0.821 0.8502 0.7865 0.7944 0.7242 0.6987 0.6357 0.58 2.7964
"AMNH-FI-115736" 13 13.15 1.5087 1.3434 1.561 1.4019 1.5847 1.57 1.5275 1.5467 1.5123 1.3431 1.3331 1.2504 1.0557 6.1493
"AMNH-FI-115737" 13 5.3454 0.5865 0.5745 0.5657 0.587 0.5652 0.6208 0.5412 0.5667 0.4897 0.5237 0.4467 0.3974 0.3973 1.6604
"AMNH-FI-115740" 13 7.6511 0.852 0.8259 0.8365 0.9399 0.8358 0.8599 0.8277 0.8385 0.7903 0.5321 0.713 0.6787 0.5726 2.974
"AMNH-FI-115741" 13 5.1689 0.5812 0.5866 0.5383 0.6174 0.5874 0.5846 0.5337 0.5817 0.5511 0.5122 0.4546 0.4275 0.418 1.8154
"AMNH-FI-115742" 13 4.9286 0.5794 0.5387 0.5737 0.5619 0.5573 0.5944 0.6017 0.5023 0.5185 0.4576 0.4535 0.408 0.3697 1.7252
"AMNH-FI-115743" 13 6.5336 0.743 0.7359 0.784 0.6933 0.7904 0.7636 0.7515 0.768 0.6821 0.6855 0.6019 0.5407 0.5451 2.4835
"AMNH-FI-115745" 13 3.9209 0.3861 0.3804 0.4306 0.4582 0.4344 0.4205 0.4252 0.4163 0.3902 0.3614 0.3419 0.2998 0.2462 1.2912
"AMNH-FI-115746" 13 4.6042 0.5086 0.5002 0.5304 0.5202 0.5024 0.5387 0.5221 0.4637 0.4617 0.4319 0.4145 0.3914 0.3254 1.5752
"AMNH-FI-115748" 13 2.6627 0.3003 0.2904 0.3014 0.2894 0.2993 0.2849 0.265 0.2529 0.2501 0.2039 0.2029 0.1802 0.159 0.5862
"AMNH-FI-115750" 13 3.3395 0.368 0.3867 0.3816 0.36 0.3893 0.359 0.3338 0.3382 0.2984 0.2836 0.2529 0.2351 0.1911 0.821
"AMNH-FI-115761" 13 2.0834 0.2344 0.2742 0.2297 0.2271 0.2355 0.2275 0.2182 0.2066 0.1746 0.1717 0.1404 0.1431 0.102 0.4662
"AMNH-FI-115766" 13 3.0582 0.3454 0.3653 0.3438 0.3586 0.332 0.3029 0.3289 0.2914 0.2879 0.2269 0.2434 0.2062 0.163 0.6372
"AMNH-FI-115770" 13 3.9793 0.4478 0.4767 0.4465 0.4729 0.4234 0.448 0.4291 0.4453 0.3762 0.3433 0.3522 0.2923 0.2642 1.202
"AMNH-FI-115771" 13 5.1737 0.5541 0.536 0.5737 0.5739 0.5791 0.5858 0.5738 0.5594 0.5216 0.5133 0.4493 0.4165 0.3873 1.9228
"AMNH-FI-115773" 13 5.5328 0.6017 0.6142 0.6046 0.6148 0.6316 0.7034 0.5834 0.6398 0.5956 0.4832 0.5071 0.4575 0.4191 2.2622
"AMNH-FI-115775" 13 4.429 0.4935 0.5132 0.4887 0.5146 0.5058 0.4845 0.4924 0.4984 0.4387 0.4134 0.3849 0.374 0.3237 1.5315
"AMNH-FI-115779" 13 7.4846 0.8567 0.6709 0.7335 0.7005 0.8407 0.8314 0.8855 0.8152 0.7702 0.7638 0.698 0.6525 0.5558 3.0336
"AMNH-FI-115780" 13 4.3015 0.4621 0.5053 0.4827 0.5052 0.4797 0.4899 0.469 0.4359 0.4001 0.386 0.3755 0.3053 0.2993 1.3247
"AMNH-FI-115784" 13 6.957 0.7347 0.7325 0.7565 0.8278 0.7616 0.8276 0.753 0.7826 0.7508 0.6656 0.6871 0.5729 0.5601 2.8389
"AMNH-FI-115785" 13 4.2181 0.5563 0.4603 0.4486 0.5127 0.4938 0.5169 0.4725 0.4444 0.424 0.426 0.3802 0.3279 0.323 1.4991
