	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-116848" 5 0.9887 0.1332 0.163 0.1419 0.1239 0.1181 NA NA NA NA NA NA NA NA 0.4262
"AMNH-FI-116849" 5 1.052 0.1202 0.1326 0.1344 0.1382 0.1176 NA NA NA NA NA NA NA NA 0.4662
"AMNH-FI-117147" 5 0.8533 0.1339 0.1256 0.1197 0.1099 0.1118 NA NA NA NA NA NA NA NA 0.4223
"AMNH-FI-115660" 4 0.9091 0.114 0.1206 0.1285 0.1238 NA NA NA NA NA NA NA NA NA 0.507
"AMNH-FI-116743" 4 0.8395 0.099 0.0993 0.1099 0.0968 NA NA NA NA NA NA NA NA NA 0.4201
"AMNH-FI-116749" 4 0.8816 0.1105 0.1245 0.1152 0.113 NA NA NA NA NA NA NA NA NA 0.489
"AMNH-FI-116796" 4 0.7703 0.1114 0.1181 0.113 0.106 NA NA NA NA NA NA NA NA NA 0.41
"AMNH-FI-117185" 4 0.6672 0.1001 0.0962 0.0992 0.0936 NA NA NA NA NA NA NA NA NA 0.3517
"AMNH-FI-117214" 5 0.9594 0.1333 0.1321 0.1116 0.1153 0.1125 NA NA NA NA NA NA NA NA 0.4195
"AMNH-FI-117273" 4 0.915 0.1231 0.1363 0.1179 0.1119 NA NA NA NA NA NA NA NA NA 0.459
"AMNH-FI-115550" 13 2.763 0.278 0.295 0.311 0.302 0.286 0.26 0.261 0.243 0.202 0.193 0.193 0.153 0.122 0.571
"AMNH-FI-115562" 6 1.233 0.16 0.157 0.119 0.137 0.13 0.105 NA NA NA NA NA NA NA 0.448
"AMNH-FI-115572" 6 1.068 0.142 0.138 0.125 0.133 0.124 0.114 NA NA NA NA NA NA NA 0.458
"AMNH-FI-115600" 6 1.171 0.136 0.128 0.132 0.135 0.125 0.124 NA NA NA NA NA NA NA 0.54
"AMNH-FI-115641" 8 1.347 0.132 0.122 0.13 0.163 0.138 0.154 0.134 0.106 NA NA NA NA NA 0.488
"AMNH-FI-115645" 5 0.946 0.119 0.094 0.091 0.085 0.123 NA NA NA NA NA NA NA NA 0.436
"AMNH-FI-115680" 7 1.218 0.119 0.148 0.16 0.16 0.136 0.156 0.135 NA NA NA NA NA NA 0.513
"AMNH-FI-115727" 10 1.757 0.136 0.155 0.212 0.223 0.205 0.197 0.187 0.157 0.144 0.127 NA NA NA 0.587
"AMNH-FI-115756" 7 1.328 0.142 0.142 0.142 0.151 0.129 0.125 0.121 NA NA NA NA NA NA 0.502
"AMNH-FI-116744" 11 1.718 0.194 0.182 0.211 0.212 0.199 0.158 0.175 0.181 0.171 0.155 0.13 NA NA 0.484
"AMNH-FI-116767" 11 2.143 0.247 0.244 0.227 0.249 0.21 0.219 0.218 0.171 0.181 0.161 0.119 NA NA 0.488
"AMNH-FI-116802" 11 2.034 0.241 0.205 0.246 0.194 0.18 0.193 0.185 0.194 0.162 0.142 0.129 NA NA 0.501
"AMNH-FI-116845" 7 1.395 0.188 0.15 0.156 0.151 0.131 0.139 0.107 NA NA NA NA NA NA 0.435
"AMNH-FI-117158" 6 1.099 0.155 0.138 0.138 0.144 0.121 0.124 NA NA NA NA NA NA NA 0.493
"AMNH-FI-117173" 7 1.227 0.147 0.155 0.137 0.152 0.137 0.124 0.109 NA NA NA NA NA NA 0.449
"AMNH-FI-117213" 5 1.093 0.123 0.145 0.151 0.135 0.129 NA NA NA NA NA NA NA NA 0.5
"AMNH-FI-117219" 7 1.237 0.132 0.153 0.145 0.139 0.148 0.139 0.114 NA NA NA NA NA NA 0.465
"AMNH-FI-117235" 12 2.149 0.235 0.256 0.243 0.257 0.23 0.207 0.2 0.208 0.182 0.158 0.144 0.113 NA 0.486
"AMNH-FI-115571" 13 2.416 0.266 0.272 0.223 0.241 0.254 0.245 0.233 0.215 0.193 0.174 0.147 0.121 0.143 0.431
"AMNH-FI-115586" 13 5.393 0.504 0.593 0.525 0.526 0.514 0.596 0.497 0.501 0.528 0.483 0.472 0.397 0.355 1.674
"AMNH-FI-115588" 13 5.987 0.664 0.671 0.648 0.673 0.634 0.652 0.652 0.616 0.588 0.576 0.464 0.472 0.424 1.877
"AMNH-FI-115603" 13 2.878 0.282 0.294 0.299 0.312 0.287 0.311 0.266 0.287 0.265 0.236 0.207 0.169 0.126 0.617
"AMNH-FI-115613" 13 2.967 0.296 0.318 0.329 0.329 0.319 0.307 0.263 0.226 0.186 0.209 0.198 0.164 0.142 0.71
"AMNH-FI-115617" 13 3.955 0.479 0.403 0.416 0.403 0.417 0.404 0.392 0.38 0.367 0.342 0.303 0.291 0.266 1.197
"AMNH-FI-115619" 13 5.865 0.493 0.648 0.58 0.646 0.629 0.544 0.596 0.629 0.561 0.562 0.498 0.442 0.442 2.199
"AMNH-FI-115620" 13 4.91 0.518 0.518 0.606 0.594 0.48 0.544 0.506 0.479 0.479 0.468 0.42 0.418 0.303 1.689
"AMNH-FI-115622" 13 6.598 0.627 0.764 0.607 0.661 0.747 0.697 0.731 0.731 0.73 0.663 0.678 0.489 0.539 2.88
"AMNH-FI-115623" 13 6.508 0.67 0.694 0.759 0.74 0.76 0.746 0.667 0.682 0.694 0.656 0.629 0.627 0.485 2.846
"AMNH-FI-115629" 13 3.47 0.345 0.334 0.267 0.381 0.367 0.345 0.334 0.335 0.256 0.289 0.235 0.224 0.201 0.803
"AMNH-FI-115677" 13 3.276 0.352 0.352 0.314 0.395 0.428 0.379 0.379 0.382 0.345 0.304 0.303 0.264 0.254 1.157
"AMNH-FI-115686" 13 3.368 0.321 0.362 0.366 0.35 0.352 0.374 0.315 0.294 0.312 0.267 0.267 0.241 0.232 1.025
"AMNH-FI-115734" 13 6.252 0.657 0.635 0.601 0.652 0.692 0.669 0.616 0.635 0.598 0.581 0.547 0.528 0.458 2.38
"AMNH-FI-115576" 13 2.881 0.265 0.274 0.316 0.29 0.282 0.299 0.252 0.266 0.265 0.208 0.191 0.191 0.17 0.73
"AMNH-FI-115705" 13 5.304 0.543 0.532 0.6 0.586 0.573 0.598 0.56 0.582 0.508 0.49 0.335 0.359 0.325 1.836
"AMNH-FI-115670" 13 6.451 0.589 0.689 0.707 0.688 0.741 0.707 0.81 0.715 0.654 0.621 0.572 0.536 0.501 2.546
"AMNH-FI-115710" 13 3.631 0.377 0.383 0.383 0.416 0.433 0.414 0.37 0.329 0.322 0.302 0.292 0.247 0.256 1.093
"AMNH-FI-115721" 13 7.28 0.732 0.72 0.812 0.815 0.83 0.801 0.867 0.814 0.832 0.745 0.594 0.615 0.602 2.894
"AMNH-FI-115769" 13 4.947 0.5 0.524 0.562 0.527 0.518 0.527 0.495 0.452 0.487 0.435 0.388 0.369 0.378 1.715
"AMNH-FI-115772" 13 6.888 0.799 0.739 0.75 0.847 0.812 0.763 0.734 0.703 0.699 0.644 0.628 0.553 0.502 2.607
"AMNH-FI-115777" 13 11.518 1.166 1.388 1.231 1.298 1.338 1.333 1.419 1.413 1.299 1.359 1.111 1.166 1.09 5.37
"AMNH-FI-115778" 13 10.213 1.091 1.101 1.147 1.131 1.148 1.147 1.134 1.115 1.066 1.001 0.968 0.918 0.803 4.652
"AMNH-FI-116758" 13 6.489 0.684 0.751 0.724 0.762 0.732 0.788 0.737 0.722 0.643 0.668 0.596 0.575 0.519 2.531
"AMNH-FI-116762" 13 9.464 0.959 1.034 1.11 1.185 1.211 0.983 1.112 1.06 1.109 0.958 1.034 0.908 0.807 4.134
"AMNH-FI-116776" 13 3.47 0.359 0.338 0.356 0.351 0.382 0.388 0.355 0.333 0.321 0.309 0.263 0.242 0.233 0.895
"AMNH-FI-116793" 13 3.845 0.379 0.411 0.394 0.369 0.423 0.393 0.416 0.385 0.367 0.314 0.323 0.301 0.245 1.384
"AMNH-FI-116800" 13 7.367 0.807 0.707 0.672 0.827 0.885 0.839 0.811 0.899 0.792 0.684 0.597 0.564 0.492 3.055
"AMNH-FI-116803" 13 3.102 0.293 0.334 0.314 0.325 0.338 0.318 0.305 0.289 0.274 0.263 0.235 0.217 0.22 0.864
"AMNH-FI-117171" 13 4.422 0.426 0.488 0.476 0.538 0.488 0.501 0.463 0.451 0.451 0.376 0.363 0.388 0.313 1.49
"AMNH-FI-117182" 13 5.972 0.66 0.62 0.673 0.621 0.689 0.675 0.661 0.674 0.633 0.568 0.555 0.448 0.489 2.577
"AMNH-FI-117195" 13 5.074 0.561 0.577 0.569 0.594 0.561 0.564 0.582 0.556 0.491 0.447 0.426 0.385 0.392 1.663
"AMNH-FI-117200" 13 3.158 0.326 0.286 0.32 0.338 0.344 0.354 0.317 0.298 0.307 0.254 0.221 0.239 0.197 0.981
"AMNH-FI-117228" 13 3.871 0.462 0.454 0.461 0.482 0.46 0.422 0.417 0.406 0.374 0.341 0.317 0.279 0.245 1.225
"AMNH-FI-117239" 13 5.677 0.578 0.626 0.636 0.667 0.617 0.576 0.555 0.586 0.525 0.535 0.475 0.456 0.466 2.154
"AMNH-FI-115776" 13 4.855 0.437 0.476 0.504 0.495 0.521 0.498 0.46 0.477 0.481 0.43 0.374 0.336 0.284 1.563
"AMNH-FI-117166" 12 2.124 0.237 0.23 0.247 0.208 0.236 0.207 0.2 0.199 0.188 0.15 0.139 0.13 NA 0.466
"AMNH-FI-117156" 8 1.287 0.181 0.19 0.188 0.173 0.156 0.159 0.138 0.123 NA NA NA NA NA 0.485
"AMNH-FI-115707" 13 4.749 0.514 0.527 0.527 0.527 0.565 0.516 0.514 0.439 0.476 0.514 0.391 0.326 0.315 1.543
"AMNH-FI-115606" 13 4.824 0.523 0.536 0.521 0.534 0.479 0.534 0.493 0.466 0.466 0.438 0.356 0.358 0.304 1.604
